cluster_id,source,native,term,description,term_size,query_size,intersection_size,effective_domain_size,raw_hypergeom_p,gprofiler_adjusted_p,gprofiler_significant_at_threshold_1,intersection_genes,global_bh_fdr,module_id,module_n_terms,module_representative_native,module_representative_term,module_representative_score,is_module_representative,module_representative_eligible,selected_for_compact_summary
cluster_11,GO:BP,GO:0000278,mitotic cell cycle,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]",345,233,27,6069,0.00028640019353970506,0.05470967583997026,True,"[];[];[];[];[];['NAS'];[];[];[];[];[];[];[];['IMP'];['ISS'];['IDA'];[];[];[];[];[];[];[];[];[];[];['IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['TAS'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['TAS'];[];[];[];[];[];[];[];[];[];['IMP'];[];['IMP'];[];['IBA'];[];[];[];[];[];[];['IMP', 'TAS'];[];[];[];[];[];[];['TAS'];[];[];[];[];[];[];[];[];[];['IEA'];[];[];[];['IDA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IDA', 'IMP', 'IBA'];[];[];[];[];['NAS'];[];[];[];[];[];['IDA', 'IBA'];[];['IDA'];[];[];[];[];[];[];[];[];['IMP', 'TAS'];[];[];[];['ISS'];[];['IMP'];[];[];[];[];[];[];[];[];[];['IEA'];[];[];[];[];[];['IMP'];[];[];[];[];[];[];[];[];[];['NAS'];['IEA'];[];[];[];[];[];[];[];[];['IDA', 'IMP', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IBA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]",0.009434201375318847,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
cluster_11,GO:BP,GO:0000910,cytokinesis,"""The division of the cytoplasm and the plasma membrane of a cell and its partitioning into two daughter cells."" [GOC:mtg_cell_cycle]",63,233,10,6069,0.00012225111253647217,0.0335212550575007,True,"[];[];[];[];[];[];['IEA'];[];[];[];[];[];[];['IMP'];[];[];[];[];[];[];['IMP'];[];[];[];[];[];['IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IBA'];[];[];[];[];[];[];['IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IDA', 'IMP', 'ISS', 'IBA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'IBA'];[];[];[];[];[];[];[];['IDA', 'IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]",0.00483848176688468,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
cluster_11,GO:BP,GO:0006605,protein targeting,"""The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif."" [GOC:ma]",81,233,11,6069,0.00023759919849790972,0.05157578786360887,True,"[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'ISS', 'IBA', 'IEA'];[];['IMP', 'IBA'];[];['IBA', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['NAS'];[];['IMP', 'IBA', 'TAS'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IEA'];['IBA'];[];[];[];[];[];[];[];['IBA'];[];[];[];[];[];[];[];[];[];[];['IEA'];['IEA'];[]",0.008122810220648,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
cluster_11,GO:BP,GO:0006886,intracellular protein transport,"""The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."" [GOC:mah]",232,233,23,6069,2.355012225357798e-05,0.009686165282896649,True,"[];[];[];[];[];[];[];['IDA'];[];[];[];[];[];[];[];['IDA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP'];[];[];[];[];['IDA'];[];[];[];[];[];[];[];[];[];['ISS', 'IBA', 'TAS', 'IEA'];[];['IMP', 'ISS', 'IBA', 'IEA'];[];['IEA'];[];['IBA', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IDA', 'IEA'];[];[];[];[];[];['IDA'];[];[];[];[];[];[];[];[];['IDA', 'IMP', 'IBA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IEA'];['IMP', 'IBA'];[];[];[];[];[];[];[];[];[];[];['IMP', 'NAS', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IDA'];[];[];[];[];['IDA', 'IBA', 'IEA'];['IEA'];[];['IDA'];['IEA'];[];[];[];[];[];['IBA'];['IBA', 'IEA'];[];[];[];[];[];[];[];[];[];['IDA'];[];[]",0.0012929262430987785,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
cluster_11,GO:BP,GO:0006996,organelle organization,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",1241,233,73,6069,4.321107892183718e-05,0.014810597300459664,True,"[];[];[];[];[];['ISS', 'NAS', 'IEA'];['IDA', 'IMP', 'IBA', 'IEA'];[];[];[];[];[];[];['IDA', 'IMP', 'IBA'];[];[];['ISS', 'IBA', 'IEA'];[];['NAS', 'IC', 'IEA'];[];['IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];['ISS'];['IMP', 'IBA', 'NAS'];['IMP', 'IBA'];[];[];[];['IMP'];[];['NAS', 'IEA'];[];[];[];['IEA'];[];[];[];[];[];[];[];[];[];[];['TAS'];[];[];['IMP', 'ISS', 'IBA', 'TAS', 'IEA'];[];[];[];['IDA', 'IMP', 'IBA'];['IEA'];[];[];['IMP'];['IMP', 'IEA'];[];[];[];[];[];['ISS'];['IMP'];['IDA'];[];[];[];[];['IMP'];['IMP'];['IDA', 'IBA'];[];[];[];[];[];[];['IMP', 'TAS', 'IEA'];[];[];[];['IDA'];[];['NAS', 'IEA'];['TAS'];[];[];['IBA', 'IEA'];[];[];[];[];['IDA', 'IEA'];[];['IMP'];['ISS', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];['IDA', 'IMP', 'IBA', 'IEA'];[];[];[];[];[];[];[];[];[];[];['IMP', 'ISS', 'NAS'];[];[];[];[];['NAS'];['IBA'];['ISS', 'IEA'];['IMP', 'ISS', 'IEA'];[];['IMP'];[];[];['IDA'];[];[];['IDA', 'IBA', 'TAS'];['TAS'];[];[];[];[];['IMP', 'TAS'];[];[];[];['IMP', 'IGI', 'IBA', 'IEA'];['IMP', 'IBA'];['IDA', 'IMP', 'IBA', 'TAS', 'IEA'];['IMP', 'IBA', 'IEA'];['IBA'];[];[];[];[];['IMP', 'IBA', 'NAS', 'IC'];[];[];['IEA'];[];[];[];[];[];['IMP', 'NAS'];['IDA', 'IBA', 'IEA'];[];[];['IDA'];[];[];[];[];[];['NAS'];['IMP', 'NAS', 'IEA'];['IBA'];[];['IEA'];[];[];[];['IMP', 'IBA'];['IMP', 'ISS', 'IEA'];['IDA', 'IMP', 'IBA', 'IEA'];['IDA', 'IBA', 'IEA'];[];[];['IEA'];['IEA'];[];[];[];[];[];[];['IMP', 'ISS', 'IBA', 'TAS', 'IEA'];[];['NAS'];[];[];['IBA', 'IEA'];[];['IBA'];[];['IMP'];['IMP', 'ISS', 'IEA'];['IMP', 'IBA'];[];[];['NAS'];['IDA', 'ISS', 'IBA', 'TAS', 'IEA'];[];[];[];[];[];['IDA'];[];[];[]",0.0020990229627423306,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
cluster_11,GO:BP,GO:0007018,microtubule-based movement,"""A microtubule-based process that results in the movement of organelles, other microtubules, or other cellular components. Examples include motor-driven movement along microtubules and movement driven by polymerization or depolymerization of microtubules."" [GOC:cjm, ISBN:0815316194]",146,233,14,6069,0.0013498987208079047,0.12716258905957095,True,"[];[];[];[];[];[];['IEA'];[];[];[];[];[];[];['IEP'];['ISS'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'ISS', 'IBA', 'IEA'];['IMP', 'ISS', 'IBA', 'TAS', 'IEA'];['IBA', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'IBA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'IBA'];['IEA'];[];[];[];[];[];[];[];[];[];['IDA', 'IMP'];[];[];['IMP'];[];[];['IBA'];[];['IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]",0.03075439264646572,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
cluster_11,GO:BP,GO:0007049,cell cycle,"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",622,233,41,6069,0.00033217755232029867,0.05904531597849777,True,"[];[];[];[];[];['IMP', 'NAS'];['IEA'];[];[];[];[];[];['ISS'];['IDA', 'IMP', 'NAS'];['ISS'];['IDA'];[];[];[];[];['IMP'];[];[];[];[];[];['IMP', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['NAS', 'IEA'];[];['TAS'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IBA', 'TAS', 'IEA'];[];[];[];[];['TAS'];[];[];['NAS'];[];[];[];['IMP'];[];[];['IMP'];[];['IMP'];[];['IBA'];[];[];[];[];[];[];['IMP', 'TAS', 'IEA'];[];[];[];[];[];[];['TAS'];[];[];[];[];[];[];[];[];[];['IEA'];[];[];[];['IDA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IDA', 'IMP', 'ISS', 'IBA'];[];[];[];[];['NAS'];[];[];[];[];[];['IDA', 'IBA', 'IEA'];[];['IDA'];[];[];[];[];[];['IDA'];['IMP', 'IBA', 'IEA'];[];['IMP', 'TAS'];[];[];[];['ISS'];[];['IDA', 'IMP'];[];['IBA'];[];[];[];[];['IBA'];[];[];['IEA'];[];[];[];[];[];['IMP'];[];[];[];[];[];[];[];[];[];['NAS'];['IMP', 'IEA'];[];[];[];[];[];[];['IMP'];[];['IDA', 'IMP', 'IEA'];[];[];[];[];[];[];[];['IBA'];[];[];[];[];[];[];[];[];['IBA', 'IEA'];[];[];[];[];[];[];[];[];[];['IEA'];[];[];[];[];[];[];[];[];[]",0.010504450737024804,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
cluster_11,GO:BP,GO:0008104,intracellular protein localization,"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]",869,233,55,6069,7.765809432989064e-05,0.02456982630606478,True,"[];[];[];['IEA'];[];['IMP'];[];['IDA'];[];[];[];[];['TAS'];['IMP'];[];['IDA', 'IMP'];[];[];[];[];[];[];[];[];['IDA', 'IEA'];[];[];['IBA'];['TAS'];[];[];['IEA'];[];[];['ISS', 'IEA'];[];['IMP', 'IEA'];[];[];[];[];[];['IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IEA'];[];[];[];[];[];[];[];[];[];['IMP'];[];[];[];[];['ISS', 'IEA'];[];[];[];[];['IDA', 'ISS', 'IEA'];['IMP'];[];[];[];['IMP'];['IDA', 'IBA'];[];[];[];[];[];[];[];['IMP'];[];['ISS', 'IBA', 'TAS', 'IEA'];[];['IMP', 'ISS', 'IBA', 'TAS', 'IEA'];[];['IEA'];[];['IBA', 'IEA'];[];[];[];['IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];['IEA'];[];[];[];[];[];[];['IDA', 'ISS', 'IEA'];[];[];['IMP'];[];[];['IDA'];[];[];[];[];[];[];[];[];['IDA', 'IMP', 'IBA', 'IEA'];[];[];[];['IMP', 'IGI', 'IBA'];['IDA'];[];[];[];[];[];[];[];['IDA'];[];[];[];[];['IDA', 'IBA', 'IEA'];[];['IDA'];[];[];['IEA'];['IMP', 'IBA', 'IEA'];[];[];[];[];[];[];[];[];['IEA'];['IEA'];['IMP', 'NAS', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IDA'];[];[];[];[];['IDA', 'IBA', 'IEA'];['IBA', 'NAS', 'IEA'];[];['IDA'];['IEA'];[];['IEA'];[];[];[];['IBA'];['IBA', 'IEA'];['IEA'];['IEA'];['IEA'];[];[];[];[];[];[];['IDA', 'IBA'];['IBA'];[]",0.003406077554776882,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
cluster_11,GO:BP,GO:0010564,regulation of cell cycle process,"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]",288,233,22,6069,0.0014647057457913765,0.12716258905957095,True,"[];[];[];[];[];['NAS'];[];[];[];[];[];[];['ISS'];['IDA', 'IMP', 'NAS'];[];['IDA'];[];[];[];[];['IMP'];[];[];[];[];[];['IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['NAS'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP'];[];['IMP'];[];[];[];[];[];[];[];[];['IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IEA'];[];[];[];['IDA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP'];[];[];[];[];['NAS'];[];[];[];[];[];['IDA'];[];['IDA'];[];[];[];[];[];['IDA'];['IMP', 'IBA', 'IEA'];[];[];[];[];[];['ISS'];[];['IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['NAS'];['IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]",0.03301382024173963,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
cluster_11,GO:BP,GO:0010970,transport along microtubule,"""The movement of organelles or other particles from one location in the cell to another along microtubules, driven by motor activity."" [GOC:dph, GOC:mah, GOC:tb]",64,233,9,6069,0.0006758904216874934,0.09238826509680988,True,"[];[];[];[];[];[];[];[];[];[];[];[];[];[];['ISS'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'ISS', 'IBA', 'IEA'];['IMP', 'ISS', 'TAS', 'IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'IBA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];['IMP', 'IBA'];[];[];[];[];[];[];[];[];[];[];['IDA', 'IMP'];[];[];[];[];[];['IBA'];[];['IEA'];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]",0.01796107798741479,cluster_11_GO_BP_M001,34,GO:0046907,intracellular transport,68.816859,False,True,True
