test_id,exposure,cycle,outcome_id,outcome_name,exposure_cycle_present,outcome_available,male_cases,female_cases,male_controls,female_controls,eligible_n,male_eligible_n,female_eligible_n,both_sexes_have_cases,source_variables,operational_definition,eligibility_note,source_component,model_cycle_used_in_loco,baseline_model_n,loco_n_when_cycle_removed
NHANES_URXP02,URXP02,2001-2002,hypertension,Hypertension,True,True,727,911,1758,1950,5346,2485,2861,True,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,BPQ,True,12370,10854
NHANES_URXP02,URXP02,2001-2002,thyroid_disease,Thyroid disease,True,False,0,0,0,0,0,0,0,False,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years; source module unavailable or variable absent.,MCQ,False,10859,10859
NHANES_URXP02,URXP02,2003-2004,hypertension,Hypertension,True,True,828,921,1554,1684,4987,2382,2605,True,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,BPQ,True,12370,10971
NHANES_URXP02,URXP02,2003-2004,thyroid_disease,Thyroid disease,True,True,95,403,2319,2210,5027,2414,2613,True,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,MCQ,True,10859,9447
NHANES_URXP02,URXP02,2005-2006,hypertension,Hypertension,True,True,760,814,1622,1768,4964,2382,2582,True,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,BPQ,True,12370,11025
NHANES_URXP02,URXP02,2005-2006,thyroid_disease,Thyroid disease,True,True,86,373,2295,2214,4968,2381,2587,True,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,MCQ,True,10859,9515
NHANES_URXP02,URXP02,2007-2008,hypertension,Hypertension,True,True,996,1128,1912,1893,5929,2908,3021,True,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,BPQ,True,12370,10756
NHANES_URXP02,URXP02,2007-2008,thyroid_disease,Thyroid disease,True,True,102,452,2804,2559,5917,2906,3011,True,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,MCQ,True,10859,9246
NHANES_URXP02,URXP02,2009-2010,hypertension,Hypertension,True,True,1048,1144,1952,2062,6206,3000,3206,True,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,BPQ,True,12370,10644
NHANES_URXP02,URXP02,2009-2010,thyroid_disease,Thyroid disease,True,True,120,488,2878,2719,6205,2998,3207,True,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,MCQ,True,10859,9135
NHANES_URXP02,URXP02,2011-2012,hypertension,Hypertension,True,True,973,1030,1762,1787,5552,2735,2817,True,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,BPQ,True,12370,10824
NHANES_URXP02,URXP02,2011-2012,thyroid_disease,Thyroid disease,True,True,118,393,2617,2416,5544,2735,2809,True,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,MCQ,True,10859,9313
NHANES_URXP02,URXP02,2013-2014,hypertension,Hypertension,True,True,988,1157,1768,1852,5765,2756,3009,True,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,BPQ,True,12370,10704
NHANES_URXP02,URXP02,2013-2014,thyroid_disease,Thyroid disease,True,True,97,504,2656,2501,5758,2753,3005,True,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,MCQ,True,10859,9195
NHANES_URXP02,URXP02,2015-2016,hypertension,Hypertension,True,True,1001,1069,1741,1902,5713,2742,2971,True,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,BPQ,True,12370,10812
NHANES_URXP02,URXP02,2015-2016,thyroid_disease,Thyroid disease,True,True,151,471,2594,2492,5708,2745,2963,True,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,MCQ,True,10859,9303
