Table_section,link,evidence_level,evidence_basis,figure_representation,status,locked_wording,candidate_bridge,toxicology_support,epithelial_effect,regulon_effect,state_correlation,donor_consistency,external_support,overall_evidence_tier,causal_status,Result_family,Metric,Value,Interpretation
Figure 5 evidence tier lock,CRC -> epithelial PPAR/NR down,E3,directly observed in current human paired-donor data,solid,GREEN,Frozen core median delta=-0.419; FDR=9.3e-07.,,,,,,,,,,,,,
Figure 5 evidence tier lock,CRC -> RELA/STAT3 inflammatory state up,E3,directly observed in current human paired-donor data,solid,GREEN,Expression/regulon and state evidence; no exposure attribution.,,,,,,,,,,,,,
Figure 5 evidence tier lock,PPAR/NR <-> differentiation/inflammatory state,E2,donor-level cross-program convergence,thin solid,YELLOW,"Association, not mediation.",,,,,,,,,,,,,
Figure 5 evidence tier lock,Within-state PPAR remodeling,E2,annotation-state paired analysis,mixed split arrows,YELLOW,1 state down and 1 state up at FDR<0.05; composition also shifts.,,,,,,,,,,,,,
Figure 5 evidence tier lock,DINP/MiNP -> PPAR/NR,E1,external toxicology-supported candidate,dashed candidate label only; omit non-colon evidence nodes,YELLOW,6 curated records but 0 direct colon/intestinal records.,,,,,,,,,,,,,
Figure 5 evidence tier lock,MCOP/DINP -> CRC epithelial PPAR state,E0,untested exposure-to-state bridge,gap/dotted,RED,No human colon perturbation or formal mediation; causal arrow prohibited.,,,,,,,,,,,,,
DINP-axis molecular bridge evidence,,,,,,,PPARG,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.557; P=1.15e-06,down_in_first_group; delta=-1.62; FDR=4.07e-10,rho=0.547; FDR=3.14e-06,0.81,GSE144735: up; status=directionally concordant,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested,,,,
DINP-axis molecular bridge evidence,,,,,,,PPARA,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.469; P=5.54e-07,down_in_first_group; delta=-0.589; FDR=7.92e-06,rho=0.596; FDR=2.39e-07,0.83,GSE144735: up; status=directionally concordant,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested,,,,
DINP-axis molecular bridge evidence,,,,,,,PPARD,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.103; P=0.176,no DoRothEA activity summary,rho=0.269; FDR=0.0441,0.56,GSE144735: up; status=directionally concordant,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested,,,,
DINP-axis molecular bridge evidence,,,,,,,NR1I2,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.361; P=0.00234,down_in_first_group; delta=-0.744; FDR=3.9e-07,rho=0.402; FDR=0.00133,0.72,GSE144735: up; status=directionally concordant,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested,,,,
