candidate_bridge,toxicology_support,epithelial_effect,regulon_effect,state_correlation,donor_consistency,external_support,overall_evidence_tier,causal_status
PPARG,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.557; P=1.15e-06,down_in_first_group; delta=-1.62; FDR=4.07e-10,rho=0.547; FDR=3.14e-06,0.81,GSE144735: up; status=directionally concordant,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
PPARA,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.469; P=5.54e-07,down_in_first_group; delta=-0.589; FDR=7.92e-06,rho=0.596; FDR=2.39e-07,0.83,GSE144735: up; status=directionally concordant,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
PPARD,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.103; P=0.176,no DoRothEA activity summary,rho=0.269; FDR=0.0441,0.56,GSE144735: up; status=directionally concordant,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
NR1I2,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.361; P=0.00234,down_in_first_group; delta=-0.744; FDR=3.9e-07,rho=0.402; FDR=0.00133,0.72,GSE144735: up; status=directionally concordant,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
NR1I3,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.311; P=0.00382,no DoRothEA activity summary,rho=0.823; FDR=3.1e-17,0.53,GSE144735: down; status=directionally concordant but underpowered,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
NR1H2,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.219; P=9.96e-05,up_in_first_group; delta=0.0653; FDR=0.323,rho=0.46; FDR=0.000145,0.81,GSE144735: down; status=directionally concordant but underpowered,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
NR1H3,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-1.26; P=1.86e-08,up_in_first_group; delta=0.331; FDR=0.000319,rho=0.626; FDR=4.33e-08,0.89,GSE144735: up; status=directionally concordant,Plausible candidate bridge,not established; convergence is associative and exposure-to-state direction is untested
RELA,DINP parent: single-chemical CTD evidence,up; median delta=0.216; P=0.00174,up_in_first_group; delta=1.55; FDR=2.55e-09,rho=-0.256; FDR=0.0554,0.81,GSE144735: up; status=directionally concordant,Directly supported,not established; convergence is associative and exposure-to-state direction is untested
STAT3,DINP parent: single-chemical CTD evidence,up; median delta=0.255; P=0.00858,up_in_first_group; delta=1.11; FDR=2.5e-08,rho=-0.372; FDR=0.00329,0.69,GSE144735: up; status=directionally concordant,Directly supported,not established; convergence is associative and exposure-to-state direction is untested
HIF1A,none in current DINP-axis single-chemical bridge table,up; median delta=0.137; P=0.0219,up_in_first_group; delta=0.566; FDR=2.74e-05,rho=-0.206; FDR=0.143,0.69,GSE144735: up; status=directionally concordant,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
MYC,none in current DINP-axis single-chemical bridge table,up; median delta=1.18; P=2.89e-07,up_in_first_group; delta=1.26; FDR=1.57e-05,rho=-0.596; FDR=2.39e-07,0.94,GSE144735: down; status=directionally concordant but underpowered,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
JUN,none in current DINP-axis single-chemical bridge table,up; median delta=0.0665; P=0.658,up_in_first_group; delta=1.34; FDR=1.36e-09,rho=0.0706; FDR=0.628,0.56,GSE144735: down; status=directionally concordant but underpowered,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
FOS,none in current DINP-axis single-chemical bridge table,up; median delta=0.00554; P=0.704,down_in_first_group; delta=-0.265; FDR=0.432,rho=0.0522; FDR=0.713,0.50,GSE144735: down; status=directionally concordant but underpowered,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
TP53,none in current DINP-axis single-chemical bridge table,up; median delta=0.361; P=0.000764,down_in_first_group; delta=-0.398; FDR=4.67e-05,rho=-0.551; FDR=2.81e-06,0.75,GSE144735: up; status=directionally concordant,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
SMAD3,none in current DINP-axis single-chemical bridge table,down; median delta=-0.206; P=0.108,up_in_first_group; delta=0.535; FDR=0.00073,rho=0.333; FDR=0.00954,0.58,GSE144735: up; status=directionally concordant,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
TCF7L2,none in current DINP-axis single-chemical bridge table,down; median delta=-0.32; P=0.000148,up_in_first_group; delta=1.04; FDR=4.07e-10,rho=0.515; FDR=1.43e-05,0.81,GSE144735: up; status=directionally concordant,Unsupported,not established; convergence is associative and exposure-to-state direction is untested
